Iterations,N. Birds,Run,Target function,Type,Error,Point,Time (s)
1000,100,21,Rosenbrock,Parallel,0.00013496325660102755,[0.9989702  0.9980537  0.996947   0.99361116 0.987321  ],0.458127498626709
1000,100,21,Rosenbrock,Iterative,1.4008457935980774,[ 0.8097442   0.66724503  0.4172814   0.17266074 -0.00737181],2.310030460357666
1000,100,22,Rosenbrock,Parallel,0.5787700266379477,[0.89416045 0.80097574 0.63633764 0.39326176 0.14415212],0.46571779251098633
1000,100,22,Rosenbrock,Iterative,2117.017915269912,[-0.17459112 -0.36805514  0.07409609 -4.5080285  20.862005  ],2.3598954677581787
1000,100,23,Rosenbrock,Parallel,1.4186918781639953e-07,[0.9999787  0.99997485 0.9999574  0.9999403  0.999899  ],0.4555079936981201
1000,100,23,Rosenbrock,Iterative,0.0,[1. 1. 1. 1. 1.],2.3584113121032715
1000,100,24,Rosenbrock,Parallel,0.18177736065844619,[0.95039785 0.9000968  0.82549214 0.67284346 0.45250595],0.44762706756591797
1000,100,24,Rosenbrock,Iterative,0.6696489959084175,[1.0049498  0.98298943 0.89603233 0.78652096 0.6043484 ],2.353163957595825
1000,100,25,Rosenbrock,Parallel,9.24173253734386,[0.30840218 0.26344174 0.11108228 0.01003227 0.18565232],0.4747495651245117
1000,100,25,Rosenbrock,Iterative,28.58502672776588,[ 1.2504576  1.5708671  2.4690588  6.101795  37.23573  ],2.3744635581970215
1000,100,26,Rosenbrock,Parallel,4.079338601298405,[-1.0069807  1.0107011  1.0340132  1.0529656  1.1152775],0.4606928825378418
1000,100,26,Rosenbrock,Iterative,1.8283711114008838e-06,[1.0000786 1.0001146 1.000161  1.0002952 1.0004915],2.3164451122283936
1000,100,27,Rosenbrock,Parallel,22.99866013820824,[-1.0392301  1.3268337  1.8162909  3.5051916 12.3927555],0.44586873054504395
1000,100,27,Rosenbrock,Iterative,10.371627129541963,[1.0436658 1.2748512 1.6844087 2.9582896 8.8369255],2.3232343196868896
1000,100,28,Rosenbrock,Parallel,131.07589467827913,[ 0.02537669 -0.9595807   1.449813    2.2875268   5.3218446 ],0.4361307621002197
1000,100,28,Rosenbrock,Iterative,850.7176512609014,"[-1.0347119e-01  3.9066274e-02 -2.7462952e+00  8.0790195e+00
  6.5339294e+01]",2.317216396331787
1000,100,29,Rosenbrock,Parallel,0.6416801407500647,[0.8908042  0.78848815 0.6212253  0.3750157  0.12153618],0.4471859931945801
1000,100,29,Rosenbrock,Iterative,0.039367756269616194,[0.97675514 0.95792    0.9185041  0.840899   0.7018497 ],2.35437273979187
1000,100,30,Rosenbrock,Parallel,0.11122905833966598,[0.96311426 0.9347029  0.8692406  0.7474882  0.54816693],0.46167778968811035
1000,100,30,Rosenbrock,Iterative,0.0722008601585884,[0.973937   0.9454934  0.89185864 0.7874879  0.6137819 ],2.3623788356781006
1000,100,1,Styblinski,Parallel,0.00014169196430202646,[-2.9045215 -2.9038274 -2.9008913 -2.9038746 -2.9037316],2.7015984058380127
1000,100,1,Styblinski,Iterative,14.136711807240488,[-2.9035077 -2.903448  -2.903494  -2.903471   2.7468674],2.3435158729553223
1000,100,2,Styblinski,Parallel,2.5733805841809954e-07,[-2.903523  -2.903494  -2.9035642 -2.9034405 -2.903593 ],0.44039058685302734
1000,100,2,Styblinski,Iterative,14.136711926449777,[-2.9035077 -2.9036586 -2.903654   2.746737  -2.9033902],2.3176376819610596
1000,100,3,Styblinski,Parallel,3.9670797491453413e-07,[-2.903581  -2.9034207 -2.9035504 -2.9034467 -2.9035351],0.4518420696258545
1000,100,3,Styblinski,Iterative,7.5388059599390544e-06,[-2.9035273 -2.9035184 -2.9035306 -2.903654  -2.903454 ],2.3102707862854004
1000,100,4,Styblinski,Parallel,5.875414217371144e-07,[-2.9035535 -2.9033885 -2.9035306 -2.9034374 -2.9034786],0.45794248580932617
1000,100,4,Styblinski,Iterative,14.136712164868356,[-2.9035656 -2.9033885 -2.9035046  2.7467797 -2.903674 ],2.330976963043213
1000,100,5,Styblinski,Parallel,5.125188522470125e-07,[-2.9035625 -2.9036267 -2.9036267 -2.903642  -2.9035306],0.46120738983154297
1000,100,5,Styblinski,Iterative,14.136711568821909,[-2.9035459 -2.9036038  2.7469125 -2.9033902 -2.9034588],2.3772099018096924
1000,100,6,Styblinski,Parallel,14.136719885887231,[-2.903358  -2.903558  -2.9034922  2.7468545 -2.9034207],0.4592905044555664
1000,100,6,Styblinski,Iterative,7.658015249489836e-06,[-2.9036572 -2.9035716 -2.9035077 -2.9034467 -2.9033823],2.329582452774048
1000,100,7,Styblinski,Parallel,3.1290227298086393e-07,[-2.9035642 -2.903468  -2.9035504 -2.903581  -2.9036357],0.4356961250305176
1000,100,7,Styblinski,Iterative,14.136712284077646,[-2.9034925 -2.9032936 -2.9035642 -2.9036267  2.7468712],2.3329925537109375
1000,100,8,Styblinski,Parallel,28.273440376563542,[-2.9033625 -2.9035153  2.7469873  2.747086  -2.903607 ],0.46340465545654297
1000,100,8,Styblinski,Iterative,14.136720986355783,[-2.9038062 -2.9034297 -2.9030914 -2.9035337  2.7474012],2.363176107406616
1000,100,9,Styblinski,Parallel,7.543683864241757e-06,[-2.903474  -2.903286  -2.9033668 -2.9036343 -2.9041111],0.45834779739379883
1000,100,9,Styblinski,Iterative,6.942759512185148e-06,[-2.9035623 -2.9036038 -2.903651  -2.9034526 -2.903674 ],2.3547372817993164
